,name,team,salary,position
455,천원석,LG 트윈스,2700만원,투수(좌투좌타)
456,홍창기,LG 트윈스,3800만원,외야수(우투좌타)
457,이동규,LG 트윈스,2700만원,내야수(우투좌타)
458,김호은,LG 트윈스,2700만원,내야수(우투좌타)
459,김대현,LG 트윈스,12000만원,투수(우투우타)
460,김주성,LG 트윈스,2900만원,내야수(우투우타)
461,고봉재,두산 베어스,3300만원,투수(우언우타)
462,신창희,두산 베어스,2700만원,포수(우투우타)
463,서예일,두산 베어스,3200만원,내야수(우투우타)
464,조수행,두산 베어스,4500만원,외야수(우투좌타)
465,이영하,두산 베어스,27000만원,투수(우투우타)
466,박승주,키움 히어로즈,2700만원,투수(우투우타)
467,주효상,키움 히어로즈,4000만원,포수(우투좌타)
468,이찬석,고양 히어로즈,2700만원,투수(우투우타)
469,안주형,삼성 라이온즈,3300만원,내야수(우투좌타)
470,이성규,삼성 라이온즈,4300만원,내야수(우투우타)
